Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,David von Ballmoos,27,€2.50m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Centre-Back,Cédric Zesiger,24,€3.20m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Centre-Back,Fabian Lustenberger,34,€400k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Left-Back,Ulisses Garcia,26,€2.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Right-Back,Lewin Blum,20,€750k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Defensive Midfield,Cheikh Niasse,22,€1.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Central Midfield,Fabian Rieder,20,€8.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Right Midfield,Christian Fassnacht,28,€4.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Left Midfield,Vincent Sierro,26,€1.50m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Second Striker,Meschack Elia,24,€5.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Centre-Forward,Wilfried Kanga,24,€2.20m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895
Goalkeeper,Anthony Racioppi,23,€1.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Centre-Back,Loris Benito,30,€800k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Centre-Back,Mohamed Camara,24,€3.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Central Midfield,Alexandre Jankewitz,20,€1.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Right Midfield,Donat Rrudhani,23,€500k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Left Midfield,Filip Ugrinic,23,€2.50m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Left Winger,Nicolas Moumi Ngamaleu,28,€4.70m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Centre-Forward,Cedric Itten,25,€2.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Centre-Forward,Jean-Pierre Nsame,29,€4.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Substitute,3840895
Goalkeeper,Yanick Brecher,29,€1.50m,FC Zürich,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Away,Starting,3840895
