Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID,matchday,weekday,date,time,Minutes Played,Player Event
Goalkeeper,Justin Hammel,22,€500k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Kristers Tobers,22,€350k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Centre-Back,Ayumu Seko,23,€3.00m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Left-Back,Michael Kempter,28,€300k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Right-Back,Dirk Abels,26,€650k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Defensive Midfield,Amir Abrashi,33,€200k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Defensive Midfield,Tsiy Ndenge,26,€800k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,86,Substituted Out
Right Midfield,Theo Corbeanu,21,€1.20m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,86,Substituted Out
Left Midfield,Filipe de Carvalho,19,€500k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,58,Substituted Out
Attacking Midfield,Giotto Morandi,24,€800k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,78,Substituted Out
Centre-Forward,Renat Dadashov,24,€1.60m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,58,Substituted Out
