Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
BSC Young Boys,Home,62',Goal,Christian Fassnacht,Header,Ulisses Garcia,,3840895
BSC Young Boys,Home,77',Goal,Cedric Itten,Right-footed shot,Cheikh Niasse,,3840895
BSC Young Boys,Home,81',Goal,Fabian Rieder,Header,Wilfried Kanga,,3840895
BSC Young Boys,Home,85',Goal,Wilfried Kanga,Right-footed shot,Christian Fassnacht,,3840895
BSC Young Boys,Home,63',Substitution,Cedric Itten,Tactical,,Meschack Elia,3840895
BSC Young Boys,Home,63',Substitution,Nicolas Moumi Ngamaleu,Tactical,,Vincent Sierro,3840895
BSC Young Boys,Home,63',Substitution,Alexandre Jankewitz,Tactical,,Lewin Blum,3840895
FC Zürich,Away,72',Substitution,Marc Hornschuh,Tactical,,Cheick Condé,3840895
FC Zürich,Away,72',Substitution,Jonathan Okita,Tactical,,Fidan Aliti,3840895
FC Zürich,Away,72',Substitution,Fabian Rohner,Tactical,,Bledian Krasniqi,3840895
FC Zürich,Away,84',Substitution,Ivan Santini,Tactical,,Wilfried Gnonto,3840895
FC Zürich,Away,84',Substitution,Stephan Seiler,Tactical,,Antonio Marchesano,3840895
BSC Young Boys,Home,88',Substitution,Jean-Pierre Nsame,Tactical,,Wilfried Kanga,3840895
BSC Young Boys,Home,88',Substitution,Filip Ugrinic,Tactical,,Fabian Rieder,3840895
BSC Young Boys,Home,3',Yellow Card,Cédric Zesiger,Foul,,,3840895
BSC Young Boys,Home,37',Yellow Card,Ulisses Garcia,Foul,,,3840895
BSC Young Boys,Home,37',Yellow Card,Meschack Elia,Dissent,,,3840895
FC Zürich,Away,50',Yellow Card,Wilfried Gnonto,Foul,,,3840895
BSC Young Boys,Home,54',Yellow Card,Vincent Sierro,Handball,,,3840895
FC Zürich,Away,61',Yellow Card,Lindrit Kamberi,Dissent,,,3840895
FC Zürich,Away,73',Yellow Card,Fabian Rohner,Foul,,,3840895
