Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Marwin Hitz,Goalkeeper,1987-09-18,"1,94m",right,"Jul 1, 2022","Jun 30, 2025",0.2,FC Basel 1893,26,36,2023_2024
Mirko Salvi,Goalkeeper,1994-02-14,"1,88m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC Basel 1893,26,30,2023_2024
Nils de Mol ,Goalkeeper,2001-05-03,"1,83m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC Basel 1893,26,22,2023_2024
Adrian Leon Barisic ,Centre-Back,2001-07-19,"1,92m",right,"Aug 18, 2023","Jun 30, 2027",2.0,FC Basel 1893,26,22,2023_2024
Nicolas Vouilloz,Centre-Back,2001-05-11,"1,84m",right,"Jan 5, 2024","Jun 30, 2028",1.9,FC Basel 1893,26,22,2023_2024
Arnau Comas ,Centre-Back,2000-04-11,"1,91m",right,"Jul 1, 2022","Jun 30, 2026",1.0,FC Basel 1893,26,23,2023_2024
Finn van Breemen,Centre-Back,2003-02-25,"1,93m",left,"Jul 1, 2023","Jun 30, 2027",1.0,FC Basel 1893,26,21,2023_2024
Marvin Akahomen,Centre-Back,2007-07-15,"1,86m",left,"Mar 14, 2024","Dec 31, 2026",0.3,FC Basel 1893,26,16,2023_2024
Jonas Adjetey,Centre-Back,2003-12-13,"1,88m",right,"Aug 3, 2022",-,0.2,FC Basel 1893,26,20,2023_2024
Dominik Schmid,Left-Back,1998-03-10,"1,82m",left,"Jul 20, 2023","Jun 30, 2026",2.0,FC Basel 1893,26,26,2023_2024
Hugo Vogel,Left-Back,2004-01-04,"1,77m",left,"Jul 1, 2022","Jun 30, 2026",0.2,FC Basel 1893,26,20,2023_2024
Sergio López ,Right-Back,1999-04-08,"1,79m",right,"Jul 1, 2021","Jun 30, 2024",1.0,FC Basel 1893,26,24,2023_2024
Mohamed Dräger ,Right-Back,1996-06-25,"1,81m",right,"Aug 25, 2023","Jun 30, 2026",0.6,FC Basel 1893,26,27,2023_2024
Kevin Rüegg,Right-Back,1998-08-05,"1,73m",right,"Sep 6, 2023","Jun 30, 2024",0.5,FC Basel 1893,26,25,2023_2024
Michael Lang,Right-Back,1991-02-08,"1,85m",right,"Jul 19, 2021","Jun 30, 2025",0.1,FC Basel 1893,26,33,2023_2024
Renato Veiga ,Defensive Midfield,2003-07-29,"1,90m",left,"Aug 28, 2023","Jun 30, 2027",3.0,FC Basel 1893,26,20,2023_2024
Leon Avdullahu,Defensive Midfield,2004-02-23,"1,85m",right,"Jul 21, 2023","Jun 30, 2028",2.0,FC Basel 1893,26,20,2023_2024
Taulant Xhaka,Defensive Midfield,1991-03-28,"1,72m",right,"Jul 1, 2010","Jun 30, 2027",0.2,FC Basel 1893,26,33,2023_2024
Fabian Frei ,Defensive Midfield,1989-01-08,"1,83m",right,"Jan 1, 2018","Jun 30, 2024",0.1,FC Basel 1893,26,35,2023_2024
Gabriel Sigua,Central Midfield,2005-06-30,"1,90m",right,"Jul 25, 2023","Jun 30, 2028",2.5,FC Basel 1893,26,18,2023_2024
Emmanuel Essiam ,Central Midfield,2003-12-19,"1,83m",right,"Jan 3, 2022","Jun 30, 2026",0.8,FC Basel 1893,26,20,2023_2024
Benjamin Kololli ,Left Midfield,1992-05-15,"1,84m",right,"Jan 1, 2024","Jun 30, 2025",0.2,FC Basel 1893,26,31,2023_2024
Dion Kacuri,Attacking Midfield,2004-02-11,"1,88m",left,"Feb 7, 2024","Jun 30, 2028",1.0,FC Basel 1893,26,20,2023_2024
Adriano Onyegbule,Attacking Midfield,2006-06-23,"1,84m",right,"Jul 1, 2022","Jun 30, 2025",0.5,FC Basel 1893,26,17,2023_2024
Anton Kade,Left Winger,2004-01-17,"1,85m",right,"Jul 1, 2022","Jun 30, 2026",1.2,FC Basel 1893,26,20,2023_2024
Junior Zé,Left Winger,2006-03-22,"1,78m",right,"Jul 21, 2023",-,0.7,FC Basel 1893,26,18,2023_2024
Juan Carlos Gauto,Right Winger,2004-06-02,"1,72m",right,"Aug 28, 2023","Jun 30, 2028",3.2,FC Basel 1893,26,19,2023_2024
Yusuf Demir ,Right Winger,2003-06-02,"1,71m",left,"Aug 16, 2023","Jun 30, 2024",3.0,FC Basel 1893,26,20,2023_2024
Axel Kayombo,Right Winger,2006-02-25,"1,86m",right,"Jul 21, 2023","Jun 30, 2025",0.15,FC Basel 1893,26,18,2023_2024
Thierno Barry,Centre-Forward,2002-10-21,"1,95m",right,"Jul 3, 2023","Jun 30, 2027",2.5,FC Basel 1893,26,21,2023_2024
Djordje Jovanovic ,Centre-Forward,1999-02-15,"1,87m",right,"Aug 17, 2023","Jun 30, 2027",2.0,FC Basel 1893,26,25,2023_2024
Maurice Malone,Centre-Forward,2000-08-17,"1,87m",left,"Aug 11, 2023","Jun 30, 2027",1.5,FC Basel 1893,26,23,2023_2024
Roméo Beney,Centre-Forward,2005-01-19,"1,87m", ,"Jan 9, 2024","Jun 30, 2027",0.7,FC Basel 1893,26,19,2023_2024
Jean-Kévin Augustin,Centre-Forward,1997-06-16,"1,79m",right,"Jul 1, 2022","Jun 30, 2025",0.5,FC Basel 1893,26,26,2023_2024
Albian Ajeti ,Centre-Forward,1997-02-26,"1,81m",right,"Feb 1, 2024","Jun 30, 2025",0.5,FC Basel 1893,26,27,2023_2024
Andrin Hunziker ,Centre-Forward,2003-02-21,"1,92m",right,"Jul 1, 2021","Jun 30, 2026",0.4,FC Basel 1893,26,21,2023_2024
Joël Mall,Goalkeeper,1991-04-05,"1,97m",right,"Jul 1, 2023","Jun 30, 2025",0.5,Servette FC,61,33,2023_2024
Jérémy Frick,Goalkeeper,1993-03-08,"1,92m",left,"Jul 1, 2016","Jun 30, 2027",0.5,Servette FC,61,31,2023_2024
Léo Besson,Goalkeeper,2002-10-27,"1,87m",right,"Apr 8, 2023","Jun 30, 2026",0.1,Servette FC,61,21,2023_2024
Yoan Severin,Centre-Back,1997-01-24,"1,86m",left,"Jul 17, 2018","Jun 30, 2026",1.5,Servette FC,61,27,2023_2024
Dylan Bronn,Centre-Back,1995-06-19,"1,86m",right,"Feb 15, 2024","Jun 30, 2024",1.5,Servette FC,61,28,2023_2024
Omar Rekik ,Centre-Back,2001-12-20,"1,88m",right,"Feb 1, 2024","Jun 30, 2024",0.5,Servette FC,61,22,2023_2024
Jérôme Onguéné,Centre-Back,1997-12-22,"1,86m",right,"Aug 4, 2023","Jun 30, 2024",0.5,Servette FC,61,26,2023_2024
Anthony Baron ,Centre-Back,1992-12-29,"1,80m",left,"Jul 20, 2022","Jun 30, 2024",0.3,Servette FC,61,31,2023_2024
Steve Rouiller ,Centre-Back,1990-07-10,"1,83m",right,"Jul 1, 2018","Jun 30, 2025",0.2,Servette FC,61,33,2023_2024
Bradley Mazikou,Left-Back,1996-06-02,"1,72m",right,"Jul 1, 2023","Jun 30, 2025",1.4,Servette FC,61,27,2023_2024
Valton Behrami,Left-Back,2004-03-16,"1,82m",left,"Oct 31, 2022","Jun 30, 2025",0.1,Servette FC,61,20,2023_2024
Keigo Tsunemoto,Right-Back,1998-10-21,"1,73m",right,"Jul 15, 2023","Jun 30, 2026",2.0,Servette FC,61,25,2023_2024
Théo Magnin,Right-Back,2003-08-09,"1,71m",right,"Feb 23, 2021","Jun 30, 2024",0.5,Servette FC,61,20,2023_2024
Issa Kaloga,Right-Back,2004-02-27,"1,82m",right,"Jul 1, 2023","Jun 30, 2026",0.2,Servette FC,61,20,2023_2024
Gaël Ondoua,Defensive Midfield,1995-11-04,"1,87m",left,"Jul 20, 2023","Jun 30, 2025",0.9,Servette FC,61,28,2023_2024
David Douline,Defensive Midfield,1993-05-28,"1,81m",right,"Jul 1, 2021","Jun 30, 2025",0.7,Servette FC,61,30,2023_2024
Timothé Cognat,Central Midfield,1998-01-25,"1,73m",right,"Jul 1, 2019","Jun 30, 2026",3.5,Servette FC,61,26,2023_2024
Samba Diba,Central Midfield,2003-12-24,"1,90m",right,"Jul 1, 2022","Jun 30, 2025",0.5,Servette FC,61,20,2023_2024
Bendegúz Bolla,Right Midfield,1999-11-22,"1,79m",right,"Aug 29, 2023","Jun 30, 2024",2.1,Servette FC,61,24,2023_2024
