Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
Servette FC,Away,16',Goal,Chris Bedia,Left-footed shot,Yoan Severin,,4089693
Grasshopper Club Zurich,Home,23',Goal,Tsiy Ndenge,Left-footed shot,Theo Corbeanu,,4089693
Servette FC,Away,61',Goal,Chris Bedia,Left-footed shot,Dereck Kutesa,,4089693
Servette FC,Away,77',Goal,Enzo Crivelli,Penalty,,,4089693
Grasshopper Club Zurich,Home,58',Substitution,Elmin Rastoder,Tactical,,Renat Dadashov,4089693
Grasshopper Club Zurich,Home,58',Substitution,Damian Nigg,Tactical,,Filipe de Carvalho,4089693
Servette FC,Away,73',Substitution,Jérémy Guillemenot,Tactical,,Chris Bedia,4089693
Servette FC,Away,73',Substitution,Alexis Antunes,Tactical,,Dereck Kutesa,4089693
Grasshopper Club Zurich,Home,78',Substitution,Meritan Shabani,Tactical,,Giotto Morandi,4089693
Servette FC,Away,81',Substitution,Ronny Rodelin,Tactical,,Enzo Crivelli,4089693
Grasshopper Club Zurich,Home,86',Substitution,Bradley Fink,Tactical,,Theo Corbeanu,4089693
Grasshopper Club Zurich,Home,86',Substitution,Dion Kacuri,Tactical,,Tsiy Ndenge,4089693
Servette FC,Away,90',Substitution,Patrick Pflücke,Tactical,,Miroslav Stevanovic,4089693
Servette FC,Away,90',Substitution,Nicolas Vouilloz,Tactical,,David Douline,4089693
Servette FC,Away,69',Yellow Card,Steve Rouiller,Foul,,,4089693
Grasshopper Club Zurich,Home,85',Yellow Card,Amir Abrashi,Foul,,,4089693
FC St. Gallen 1879,Home,38',Goal,Willem Geubbels,Left-footed shot,,,4089694
FC Basel 1893,Away,45',Goal,Fabian Frei,Direct free kick,,,4089694
FC St. Gallen 1879,Home,86',Goal,Lukas Görtler,Right-footed shot,Jordi Quintillà,,4089694
FC Basel 1893,Away,46',Substitution,Michael Lang,Tactical,,Sergio López,4089694
FC Basel 1893,Away,52',Substitution,Liam Millar,Injury,,Jonathan Dubasin,4089694
FC St. Gallen 1879,Home,62',Substitution,Chadrac Akolo,Tactical,,Julian Von Moos,4089694
FC St. Gallen 1879,Home,62',Substitution,Nikolaj Möller,Tactical,,Willem Geubbels,4089694
FC St. Gallen 1879,Home,72',Substitution,Patrick Sutter,Tactical,,Isaac Schmidt,4089694
FC Basel 1893,Away,74',Substitution,Dominik Schmid,Tactical,,Jean-Kévin Augustin,4089694
FC St. Gallen 1879,Home,74',Substitution,Grégory Karlen,Tactical,,Betim Fazliji,4089694
FC Basel 1893,Away,79',Substitution,Nasser Djiga,Tactical,,Arnau Comas,4089694
FC St. Gallen 1879,Home,14',Yellow Card,Jordi Quintillà,Foul,,,4089694
FC Basel 1893,Away,33',Yellow Card,Thierno Barry,Foul,,,4089694
