Club,Squad,Age,Legionaere,Value,Total Value,Title 1,Title 2,Season
367,"25,1 Jahre",213,882 Tsd. €,"323,65 Mio. €",,,,2023
BSC Young Boys,26,"24,5",13,"2,41 Mio. €","62,70 Mio. €",Schweizer Meister 22/23,Schweizer Cupsieger 22/23,2023
FC Basel 1893,33,"23,2",21,"1,03 Mio. €","34,15 Mio. €",,,2023
FC Lugano,35,"24,0",22,962 Tsd. €,"33,68 Mio. €",,,2023
FC Luzern,31,"24,2",15,985 Tsd. €,"30,53 Mio. €",,,2023
FC Lausanne-Sport,27,"25,9",18,"1,11 Mio. €","29,95 Mio. €",,,2023
FC St. Gallen 1879,28,"24,7",19,879 Tsd. €,"24,60 Mio. €",,,2023
Servette FC,29,"25,4",20,721 Tsd. €,"20,90 Mio. €",,,2023
FC Zürich,28,"24,8",13,711 Tsd. €,"19,90 Mio. €",,,2023
Yverdon Sport FC,34,"25,0",23,556 Tsd. €,"18,90 Mio. €",,,2023
Grasshopper Club Zürich,35,"22,8",20,463 Tsd. €,"16,20 Mio. €",,,2023
FC Stade-Lausanne-Ouchy,29,"25,0",20,529 Tsd. €,"15,35 Mio. €",,,2023
FC Winterthur,30,"25,6",7,450 Tsd. €,"13,50 Mio. €",,,2023
370,"23,9 Jahre",193,971 Tsd. €,"359,45 Mio. €",,,,2022
BSC Young Boys,37,"24,4",10,"2,19 Mio. €","80,88 Mio. €",,,2022
FC Basel 1893,43,"22,6",24,"1,48 Mio. €","63,60 Mio. €",,,2022
FC Zürich,36,"24,9",20,"1,32 Mio. €","47,43 Mio. €",Schweizer Meister 21/22,,2022
FC Luzern,40,"23,8",22,813 Tsd. €,"32,53 Mio. €",,,2022
FC St. Gallen 1879,35,"24,0",20,835 Tsd. €,"29,23 Mio. €",,,2022
Grasshopper Club Zürich,33,"24,4",22,832 Tsd. €,"27,46 Mio. €",,,2022
Servette FC,37,"25,1",23,705 Tsd. €,"26,10 Mio. €",,,2022
FC Lugano,40,"24,5",21,645 Tsd. €,"25,81 Mio. €",Schweizer Cupsieger 21/22,,2022
FC Sion,37,"25,8",20,424 Tsd. €,"15,68 Mio. €",,,2022
FC Winterthur,32,"24,8",11,336 Tsd. €,"10,75 Mio. €",,,2022
386,"24,0 Jahre",211,967 Tsd. €,"373,20 Mio. €",,,,2021
BSC Young Boys,39,"24,2",11,"1,92 Mio. €","74,98 Mio. €",Schweizer Meister 20/21,,2021
FC Basel 1893,40,"23,2",26,"1,85 Mio. €","73,93 Mio. €",,,2021
FC Zürich,33,"24,9",18,"1,36 Mio. €","44,80 Mio. €",,,2021
FC St. Gallen 1879,35,"23,3",16,887 Tsd. €,"31,05 Mio. €",,,2021
Grasshopper Club Zürich,41,"24,1",29,750 Tsd. €,"30,75 Mio. €",,,2021
Servette FC,39,"23,9",21,722 Tsd. €,"28,15 Mio. €",,,2021
FC Lausanne-Sport,42,"23,6",27,599 Tsd. €,"25,18 Mio. €",,,2021
FC Lugano,40,"25,2",21,569 Tsd. €,"22,75 Mio. €",,,2021
FC Luzern,35,"25,0",19,603 Tsd. €,"21,10 Mio. €",Schweizer Cupsieger 20/21,,2021
FC Sion,42,"26,0",23,489 Tsd. €,"20,53 Mio. €",,,2021
355,"23,7 Jahre",181,819 Tsd. €,"290,60 Mio. €",,,,2020
BSC Young Boys,32,"24,1",10,"1,94 Mio. €","62,20 Mio. €",Schweizer Meister 19/20,Schweizer Cupsieger 19/20,2020
FC Basel 1893,42,"23,7",21,"1,31 Mio. €","54,83 Mio. €",,,2020
FC St. Gallen 1879,39,"22,5",16,751 Tsd. €,"29,30 Mio. €",,,2020
FC Zürich,33,"25,1",15,856 Tsd. €,"28,25 Mio. €",,,2020
FC Lausanne-Sport,37,"23,0",22,736 Tsd. €,"27,25 Mio. €",,,2020
Servette FC,33,"24,3",21,809 Tsd. €,"26,70 Mio. €",,,2020
FC Luzern,37,"23,9",16,604 Tsd. €,"22,35 Mio. €",,,2020
FC Lugano,35,"24,9",19,490 Tsd. €,"17,15 Mio. €",,,2020
FC Sion,39,"24,4",23,371 Tsd. €,"14,48 Mio. €",,,2020
FC Vaduz,28,"25,1",18,289 Tsd. €,"8,10 Mio. €",,,2020
385,"23,9 Jahre",174,759 Tsd. €,"292,13 Mio. €",,,,2019
FC Basel 1893,38,"23,2",17,"1,67 Mio. €","63,45 Mio. €",Schweizer Cupsieger 18/19,,2019
BSC Young Boys,33,"24,3",12,"1,88 Mio. €","61,93 Mio. €",Schweizer Meister 18/19,,2019
FC Zürich,50,"23,4",24,588 Tsd. €,"29,38 Mio. €",,,2019
FC Sion,45,"24,0",31,572 Tsd. €,"25,75 Mio. €",,,2019
FC Luzern,36,"23,4",15,656 Tsd. €,"23,60 Mio. €",,,2019
FC Lugano,41,"25,1",21,524 Tsd. €,"21,50 Mio. €",,,2019
FC St. Gallen 1879,34,"23,4",16,627 Tsd. €,"21,33 Mio. €",,,2019
FC Thun,35,"24,7",7,536 Tsd. €,"18,78 Mio. €",,,2019
Servette FC,39,"24,2",21,373 Tsd. €,"14,55 Mio. €",,,2019
Neuchâtel Xamax FCS,34,"26,5",10,349 Tsd. €,"11,88 Mio. €",,,2019
382,"23,9 Jahre",181,973 Tsd. €,"371,65 Mio. €",,,,2018
