Rank,Club,League,Value,Current Value,Change,As of
1,BSC Young Boys,Super League,"58,30","62,70","7,5 %",2023-12-15
2,FC Basel 1893,Super League,"33,80","34,15","1,0 %",2023-12-15
3,FC Lugano,Super League,"29,50","33,68","14,2 %",2023-12-15
4,FC Luzern,Super League,"28,10","30,53","8,6 %",2023-12-15
5,FC Lausanne-Sport,Super League,"21,80","29,95","37,4 %",2023-12-15
6,FC St. Gallen 1879,Super League,"22,95","24,60","7,2 %",2023-12-15
7,Servette FC,Super League,"26,50","20,90","-21,1 %",2023-12-15
8,FC Zürich,Super League,"18,80","19,90","5,9 %",2023-12-15
9,Yverdon Sport FC,Super League,"14,00","18,90","35,0 %",2023-12-15
10,Grasshopper Club Zürich,Super League,"17,00","16,20","-4,7 %",2023-12-15
11,FC Stade-Lausanne-Ouchy,Super League,"15,15","15,35","1,3 %",2023-12-15
12,FC Winterthur,Super League,"12,40","12,10","-2,4 %",2023-12-15
1,BSC Young Boys,Super League,"58,30","62,70","7,5 %",2023-12-01
2,FC Basel 1893,Super League,"33,80","34,15","1,0 %",2023-12-01
3,FC Lugano,Super League,"29,50","33,68","14,2 %",2023-12-01
4,FC Luzern,Super League,"28,10","30,53","8,6 %",2023-12-01
5,FC Lausanne-Sport,Super League,"21,80","29,95","37,4 %",2023-12-01
6,FC St. Gallen 1879,Super League,"22,95","24,60","7,2 %",2023-12-01
7,Servette FC,Super League,"26,50","20,90","-21,1 %",2023-12-01
8,FC Zürich,Super League,"18,80","19,90","5,9 %",2023-12-01
9,Yverdon Sport FC,Super League,"14,00","18,90","35,0 %",2023-12-01
10,Grasshopper Club Zürich,Super League,"17,00","16,20","-4,7 %",2023-12-01
11,FC Stade-Lausanne-Ouchy,Super League,"15,15","15,35","1,3 %",2023-12-01
12,FC Winterthur,Super League,"12,40","12,10","-2,4 %",2023-12-01
1,BSC Young Boys,Super League,"58,30","62,70","7,5 %",2023-11-15
2,FC Basel 1893,Super League,"33,80","34,15","1,0 %",2023-11-15
3,FC Lugano,Super League,"29,50","33,68","14,2 %",2023-11-15
4,FC Luzern,Super League,"28,10","30,53","8,6 %",2023-11-15
5,FC Lausanne-Sport,Super League,"21,80","29,95","37,4 %",2023-11-15
6,FC St. Gallen 1879,Super League,"22,95","24,60","7,2 %",2023-11-15
7,Servette FC,Super League,"26,50","20,90","-21,1 %",2023-11-15
8,FC Zürich,Super League,"18,80","19,90","5,9 %",2023-11-15
