Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,Justin Hammel,22,€500k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Centre-Back,Kristers Tobers,22,€350k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Centre-Back,Ayumu Seko,23,€3.00m,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Left-Back,Michael Kempter,28,€300k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Right-Back,Dirk Abels,26,€650k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Defensive Midfield,Amir Abrashi,33,€200k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Defensive Midfield,Tsiy Ndenge,26,€800k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Right Midfield,Theo Corbeanu,21,€1.20m,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Left Midfield,Filipe de Carvalho,19,€500k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Attacking Midfield,Giotto Morandi,24,€800k,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Centre-Forward,Renat Dadashov,24,€1.60m,Grasshopper Club Zurich,1. Matchday,Home,Starting,4089693
Goalkeeper,Manuel Kuttin,29,€200k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Centre-Back,Elvir Zukaj,21,€10k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Left-Back,Florian Hoxha,22,€100k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Defensive Midfield,Tim Meyer,19,€10k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Attacking Midfield,Dion Kacuri,19,€600k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Attacking Midfield,Meritan Shabani,24,€400k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Left Winger,Damian Nigg,18,€150k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Centre-Forward,Bradley Fink,20,€1.00m,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Centre-Forward,Elmin Rastoder,21,€350k,Grasshopper Club Zurich,1. Matchday,Home,Substitute,4089693
Goalkeeper,Jérémy Frick,30,€500k,Servette FC,1. Matchday,Away,Starting,4089693
Centre-Back,Yoan Severin,26,€900k,Servette FC,1. Matchday,Away,Starting,4089693
Centre-Back,Steve Rouiller,33,€300k,Servette FC,1. Matchday,Away,Starting,4089693
Left-Back,Anthony Baron,30,€300k,Servette FC,1. Matchday,Away,Starting,4089693
Right-Back,Keigo Tsunemoto,24,€600k,Servette FC,1. Matchday,Away,Starting,4089693
Central Midfield,David Douline,30,€700k,Servette FC,1. Matchday,Away,Starting,4089693
Central Midfield,Timothé Cognat,25,€3.00m,Servette FC,1. Matchday,Away,Starting,4089693
Right Midfield,Miroslav Stevanovic,32,€2.00m,Servette FC,1. Matchday,Away,Starting,4089693
Left Midfield,Dereck Kutesa,25,€1.50m,Servette FC,1. Matchday,Away,Starting,4089693
Centre-Forward,Chris Bedia,27,€2.00m,Servette FC,1. Matchday,Away,Starting,4089693
Centre-Forward,Enzo Crivelli,28,€1.00m,Servette FC,1. Matchday,Away,Starting,4089693
Goalkeeper,Joël Mall,32,€500k,Servette FC,1. Matchday,Away,Substitute,4089693
Centre-Back,Nicolas Vouilloz,22,€2.20m,Servette FC,1. Matchday,Away,Substitute,4089693
Left-Back,Bradley Mazikou,27,€1.20m,Servette FC,1. Matchday,Away,Substitute,4089693
Attacking Midfield,Alexis Antunes,22,€1.00m,Servette FC,1. Matchday,Away,Substitute,4089693
Left Winger,Patrick Pflücke,26,€900k,Servette FC,1. Matchday,Away,Substitute,4089693
