Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,Jérémy Vachoux,29,€500k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Centre-Back,Dylan Ouedraogo,25,€300k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Centre-Back,Lavdrim Hajrulahu,25,€400k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Centre-Back,Rayan Kadima,26,€300k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Left-Back,Elies Mahmoud,23,€800k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Right-Back,Mohamed Abdallah,24,€400k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Central Midfield,Romain Bayard,30,€200k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Central Midfield,Edmond Akichi,33,€200k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Right Midfield,Alban Ajdini,24,€1.20m,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Left Midfield,Ismaël Gharbi,19,€5.00m,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Centre-Forward,Vitalie Damaşcan,25,€700k,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Starting,4244785
Goalkeeper,Noah Noverraz,19,,FC Stade-Lausanne-Ouchy,"23. Matchday | Sat, 2/10/24   |  6:00 PM",Home,Substitute,4244785
