Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Winterthur,Home,74',Goal,Matteo Di Giusto,Right-footed shot,,,4089800
FC Winterthur,Home,46',Substitution,Adrian Gantenbein,Tactical,,Aldin Turkes,4089800
FC Winterthur,Home,46',Substitution,Matteo Di Giusto,Tactical,,Basil Stillhart,4089800
FC Lausanne-Sport,Away,63',Substitution,Brighton Labeau,Tactical,,Olivier Custodio,4089800
FC Winterthur,Home,73',Substitution,Thibault Corbaz,Tactical,,Randy Schneider,4089800
FC Winterthur,Home,73',Substitution,Nishan Burkart,Tactical,,Sayfallah Ltaief,4089800
FC Lausanne-Sport,Away,80',Substitution,Dominik Schwizer,Tactical,,Fousseni Diabaté,4089800
FC Lausanne-Sport,Away,80',Substitution,Toichi Suzuki,Tactical,,Kaly Sène,4089800
FC Lausanne-Sport,Away,87',Substitution,Trae Coyle,Tactical,,Jamie Roche,4089800
FC Winterthur,Home,90',Substitution,Granit Lekaj,Delay,,Samuel Ballet,4089800
FC Lausanne-Sport,Away,55',Yellow Card,Berkay Dabanli,Foul,,,4089800
FC Lausanne-Sport,Away,57',Yellow Card,Jamie Roche,Foul,,,4089800
FC Winterthur,Home,64',Yellow Card,Luca Zuffi,Foul,,,4089800
FC St. Gallen 1879,Away,14',Goal,Chadrac Akolo,Header,Willem Geubbels,,4089801
FC Lausanne-Sport,Home,46',Substitution,Jamie Roche,Tactical,,Raoul Giger,4089801
FC St. Gallen 1879,Away,63',Substitution,Isaac Schmidt,Tactical,,Willem Geubbels,4089801
FC St. Gallen 1879,Away,63',Substitution,Felix Mambimbi,Tactical,,Christian Witzig,4089801
FC St. Gallen 1879,Away,74',Substitution,Fabian Schubert,Tactical,,Chadrac Akolo,4089801
FC Lausanne-Sport,Home,76',Substitution,Trae Coyle,Tactical,,Rares Ilie,4089801
FC St. Gallen 1879,Away,86',Substitution,Mihailo Stevanovic,Tactical,,Lukas Görtler,4089801
FC St. Gallen 1879,Away,86',Substitution,Abdoulaye Diaby,Tactical,,Bastien Toma,4089801
FC Lausanne-Sport,Home,86',Substitution,Dominik Schwizer,Tactical,,Kaly Sène,4089801
FC St. Gallen 1879,Away,55',Yellow Card,Jozo Stanic,Foul,,,4089801
