Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Lausanne-Sport,Home,9',Goal,Donat Rrudhani,Left-footed shot,Morgan Poaty,,4244791
FC Lausanne-Sport,Home,20',Goal,Kaly Sène,Right-footed shot,,,4244791
FC Lausanne-Sport,Home,29',Goal,Rares Ilie,Right-footed shot,,,4244791
Yverdon Sport FC,Away,45',Goal,Marley Aké,Right-footed shot,Kevin Carlos,,4244791
FC Lausanne-Sport,Home,36',Substitution,Fousseni Diabaté,Injury,,Rares Ilie,4244791
Yverdon Sport FC,Away,46',Substitution,Dario Del Fabro,Tactical,,Liziero,4244791
FC Lausanne-Sport,Home,60',Substitution,Olivier Custodio,Tactical,,Simone Pafundi,4244791
Yverdon Sport FC,Away,61',Substitution,Christopher Lungoyi,Tactical,,Marley Aké,4244791
Yverdon Sport FC,Away,75',Substitution,Aimen Mahious,Tactical,,Dominic Corness,4244791
Yverdon Sport FC,Away,82',Substitution,Mauro Rodrigues,Tactical,,Varol Tasar,4244791
FC Lausanne-Sport,Home,86',Substitution,Haithem Loucif,Injury,,Morgan Poaty,4244791
FC Lausanne-Sport,Home,87',Substitution,Stjepan Kukuruzovic,Tactical,,Antoine Bernede,4244791
FC Lausanne-Sport,Home,88',Substitution,Brighton Labeau,Tactical,,Kaly Sène,4244791
Yverdon Sport FC,Away,31',Direct Red Card,Niklas Gunnarsson,Serious foul,,,4244791
Yverdon Sport FC,Away,36',Yellow Card,Marley Aké,Foul,,,4244791
FC Lausanne-Sport,Home,85',Yellow Card,Raoul Giger,Foul,,,4244791
FC Lausanne-Sport,Home,90',Yellow Card,Gábor Szalai,Foul,,,4244791
FC Lausanne-Sport,Home,90',Yellow Card,Donat Rrudhani,Foul,,,4244791
FC St. Gallen 1879,Home,6',Goal,Jovan Milosevic,Right-footed shot,,,4244792
FC Winterthur,Away,46',Goal,Boubacar Fofana,Right-footed shot,Luca Zuffi,,4244792
FC St. Gallen 1879,Home,57',Goal,Bastien Toma,Right-footed shot,Christian Witzig,,4244792
FC Winterthur,Away,77',Goal,Nishan Burkart,Left-footed shot,Adrian Gantenbein,,4244792
FC St. Gallen 1879,Home,34',Substitution,Julian Von Moos,Injury,,Jovan Milosevic,4244792
FC St. Gallen 1879,Home,46',Substitution,Bastien Toma,Tactical,,Patrick Sutter,4244792
FC St. Gallen 1879,Home,70',Substitution,Felix Mambimbi,Tactical,,Julian Von Moos,4244792
FC Winterthur,Away,72',Substitution,Basil Stillhart,Tactical,,Alexandre Jankewitz,4244792
FC Winterthur,Away,73',Substitution,Randy Schneider,Tactical,,Matteo Di Giusto,4244792
FC Winterthur,Away,74',Substitution,Nishan Burkart,Tactical,,Tobias Schättin,4244792
FC St. Gallen 1879,Home,80',Substitution,Fabian Schubert,Tactical,,Chadrac Akolo,4244792
FC St. Gallen 1879,Home,80',Substitution,Corsin Konietzke,Tactical,,Mihailo Stevanovic,4244792
FC Winterthur,Away,86',Substitution,Thibault Corbaz,Tactical,,Boubacar Fofana,4244792
FC St. Gallen 1879,Home,49',Yellow Card,Mattia Zanotti,Foul,,,4244792
FC Winterthur,Away,70',Yellow Card,Remo Arnold,Foul,,,4244792
FC St. Gallen 1879,Home,71',Yellow-Red Card,Mattia Zanotti,Foul,,,4244792
FC Winterthur,Away,88',Yellow Card,Nishan Burkart,Foul,,,4244792
FC Winterthur,Away,90',Yellow Card,Thibault Corbaz,Foul,,,4244792
Grasshopper Club Zurich,Home,29',Goal,Francis Momoh,Right-footed shot,Giotto Morandi,,4244793
Grasshopper Club Zurich,Home,36',Goal,Giotto Morandi,Penalty,,,4244793
