Match ID,Home Team,Away Team,Result,League
3841148,FC Basel 1893,FC Zürich,"0:2
(0:0)",Credit Suisse Super League
3841149,Grasshopper Club Zurich,Servette FC,"2:3
(1:1)",Credit Suisse Super League
3841150,FC Luzern,FC Lugano,"2:2
(2:0)",Credit Suisse Super League
3841151,FC Sion,FC Winterthur,"0:1
(0:1)",Credit Suisse Super League
3841152,FC St. Gallen 1879,BSC Young Boys,"0:2
(0:0)",Credit Suisse Super League
3841153,Stade Rennais FC,CS Sedan-Ardennes,"1:1
(0:1)",Division 1
3841154,FC Sochaux-Montbéliard,RC Strasbourg Alsace,"1:1
(1:1)",Division 1
3841155,AC Ajaccio,FC Metz,"0:0
(0:0)",Division 1
3841156,Olympique Marseille,Nîmes Olympique,"1:2
(0:2)",Division 1
3841157,AS Nancy-Lorraine,Sporting Étoile Club Bastia ,"3:2
(2:2)",Division 1
3841158,FC Nantes,Red Star FC,"3:1
(2:1)",Division 1
3841159,Paris FC,Olympique Lyon,"5:1
(3:1)",Division 1
3841160,Stade Reims,FC Girondins Bordeaux,"3:1
(0:1)",Division 1
3841161,AS Saint-Étienne,Angers SCO,"5:0
(4:0)",Division 1
3841162,US Valenciennes-Anzin,OGC Nice,"1:1
(0:0)",Division 1
3841163,Grasshopper Club Zurich,FC Luzern,"2:0
(0:0)",Credit Suisse Super League
3841164,FC Lugano,FC Winterthur,"2:1
(2:1)",Credit Suisse Super League
3841165,Servette FC,FC Sion,"5:0
(3:0)",Credit Suisse Super League
3841166,FC St. Gallen 1879,FC Basel 1893,"6:1
(3:0)",Credit Suisse Super League
3841167,BSC Young Boys,FC Zürich,"1:1
(1:1)",Credit Suisse Super League
3841168,FC Basel 1893,FC Lugano,"1:1
(1:0)",Credit Suisse Super League
3841169,FC Luzern,FC St. Gallen 1879,"1:1
(1:1)",Credit Suisse Super League
3841170,FC Sion,BSC Young Boys,"0:2
(0:1)",Credit Suisse Super League
3841171,FC Winterthur,Servette FC,"0:1
(0:0)",Credit Suisse Super League
3841172,FC Zürich,Grasshopper Club Zurich,"2:1
(1:1)",Credit Suisse Super League
3841173,RC Strasbourg Alsace,AC Ajaccio,"6:0
(2:0)",Division 1
3841174,Angers SCO,Red Star FC,"1:0
(0:0)",Division 1
3841175,Sporting Étoile Club Bastia ,Stade Rennais FC,"4:0
(2:0)",Division 1
3841176,FC Girondins Bordeaux,FC Metz,"2:0
(1:0)",Division 1
3841177,Olympique Lyon,Olympique Marseille,"4:4
(3:4)",Division 1
3841178,AS Nancy-Lorraine,US Valenciennes-Anzin,"1:1
(1:1)",Division 1
3841179,OGC Nice,Stade Reims,"2:2
(2:1)",Division 1
3841180,Nîmes Olympique,AS Saint-Étienne,"4:0
(3:0)",Division 1
3841181,Paris FC,FC Nantes,"1:2
(1:1)",Division 1
3841182,CS Sedan-Ardennes,FC Sochaux-Montbéliard,"1:1
(1:1)",Division 1
3841183,AS Saint-Étienne,RC Strasbourg Alsace,"5:1
(2:1)",Division 1
3841184,AC Ajaccio,OGC Nice,"0:3
(0:3)",Division 1
3841185,Olympique Marseille,Sporting Étoile Club Bastia ,"1:0
(1:0)",Division 1
3841186,FC Metz,Angers SCO,"2:0
(1:0)",Division 1
3841187,FC Nantes,AS Nancy-Lorraine,"2:1
(1:0)",Division 1
3841188,Red Star FC,FC Girondins Bordeaux,"3:1
(2:0)",Division 1
3841189,Stade Reims,Olympique Lyon,"2:1
(0:1)",Division 1
3841190,FC Sochaux-Montbéliard,Nîmes Olympique,"0:0
(0:0)",Division 1
3841191,US Valenciennes-Anzin,CS Sedan-Ardennes,"5:1
(3:0)",Division 1
3841192,Paris FC,Stade Rennais FC,"2:2
(0:2)",Division 1
3841193,Grasshopper Club Zurich,FC St. Gallen 1879,"2:2
(1:1)",Credit Suisse Super League
3841194,FC Lugano,BSC Young Boys,"2:0
(0:0)",Credit Suisse Super League
3841195,Servette FC,FC Basel 1893,"3:3
(1:1)",Credit Suisse Super League
3841196,FC Sion,FC Luzern,"1:2
(1:0)",Credit Suisse Super League
3841197,FC Winterthur,FC Zürich,"0:2
(0:2)",Credit Suisse Super League
3841198,RC Strasbourg Alsace,FC Metz,"0:1
(0:0)",Division 1
3841199,Sporting Étoile Club Bastia ,US Valenciennes-Anzin,"2:0
(0:0)",Division 1
3841200,FC Girondins Bordeaux,AC Ajaccio,"3:0
(1:0)",Division 1
3841201,Olympique Lyon,FC Sochaux-Montbéliard,"2:0
(1:0)",Division 1
3841202,FC Nantes,Olympique Marseille,"1:2
(1:2)",Division 1
3841203,OGC Nice,Red Star FC,"1:1
(0:1)",Division 1
3841204,Nîmes Olympique,Stade Reims,"2:1
(2:1)",Division 1
3841205,Paris FC,AS Saint-Étienne,"1:1
(0:1)",Division 1
3841206,CS Sedan-Ardennes,Angers SCO,"2:2
(0:2)",Division 1
3841207,AS Nancy-Lorraine,Stade Rennais FC,"4:0
(1:0)",Division 1
3841208,FC Basel 1893,Grasshopper Club Zurich,"3:1
(0:0)",Credit Suisse Super League
3841209,FC Luzern,Servette FC,"0:1
(0:1)",Credit Suisse Super League
3841210,FC St. Gallen 1879,FC Sion,"4:0
(3:0)",Credit Suisse Super League
3841211,BSC Young Boys,FC Winterthur,"2:1
(1:0)",Credit Suisse Super League
3841212,FC Zürich,FC Lugano,"2:3
(0:2)",Credit Suisse Super League
