Match ID,Home Team,Away Team,Result,League
4244791,FC Lausanne-Sport,Yverdon Sport FC,"3:1
(3:1)",Super League
4244792,FC St. Gallen 1879,FC Winterthur,"2:2
(1:0)",Super League
4244793,Grasshopper Club Zurich,FC Basel 1893,"2:1
(2:1)",Super League
4244794,BSC Young Boys,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4244795,FC Luzern,FC Zürich,"0:1
(0:0)",Super League
4244796,Servette FC,FC Lugano,"2:1
(0:1)",Super League
4244797,FC St. Gallen 1879,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4244798,Yverdon Sport FC,FC Basel 1893,"0:2
(0:1)",Super League
4244799,Grasshopper Club Zurich,FC Luzern,"0:1
(0:0)",Super League
4244800,FC Lugano,FC Zürich,"2:0
(1:0)",Super League
4244801,FC Lausanne-Sport,FC Winterthur,"1:1
(1:1)",Super League
4244802,BSC Young Boys,Servette FC,"0:1
(0:1)",Super League
4244803,Servette FC,FC St. Gallen 1879,"2:0
(1:0)",Super League
4244804,FC Stade-Lausanne-Ouchy,Grasshopper Club Zurich,"1:1
(1:1)",Super League
4244805,FC Basel 1893,FC Lausanne-Sport,"1:2
(0:1)",Super League
4244806,FC Luzern,FC Lugano,"0:1
(0:1)",Super League
4244807,FC Winterthur,Yverdon Sport FC,"2:1
(1:0)",Super League
4244808,FC Zürich,BSC Young Boys,"1:0
(1:0)",Super League
4244809,FC Winterthur,Grasshopper Club Zurich,"2:0
(0:0)",Super League
4244810,Yverdon Sport FC,FC Zürich,"3:2
(2:1)",Super League
4244811,FC St. Gallen 1879,FC Lugano,"2:3
(2:1)",Super League
4244812,Servette FC,FC Lausanne-Sport,"3:1
(1:1)",Super League
4244813,FC Stade-Lausanne-Ouchy,FC Luzern,"2:1
(0:0)",Super League
4244814,BSC Young Boys,FC Basel 1893,"5:1
(3:0)",Super League
4244815,FC Basel 1893,FC Winterthur,"1:1
(0:1)",Super League
4244816,Grasshopper Club Zurich,FC St. Gallen 1879,"1:1
(0:1)",Super League
4244817,FC Lugano,Yverdon Sport FC,"2:0
(1:0)",Super League
4244818,FC Zürich,FC Stade-Lausanne-Ouchy,"2:2
(2:1)",Super League
4244819,FC Lausanne-Sport,BSC Young Boys,"2:0
(2:0)",Super League
4244820,FC Luzern,Servette FC,"2:2
(1:2)",Super League
4244821,FC Stade-Lausanne-Ouchy,FC Lugano,"1:3
(0:0)",Super League
4244822,FC Winterthur,Servette FC,"1:0
(0:0)",Super League
4244823,FC Basel 1893,FC Zürich,"2:2
(2:1)",Super League
4244824,Yverdon Sport FC,BSC Young Boys,"0:0
(0:0)",Super League
4244825,Grasshopper Club Zurich,FC Lausanne-Sport,"0:1
(0:1)",Super League
4244826,FC St. Gallen 1879,FC Luzern,"1:1
(1:0)",Super League
4244827,FC Lugano,FC Basel 1893,"2:0
(1:0)",Super League
4244828,Servette FC,FC Stade-Lausanne-Ouchy,"1:2
(0:1)",Super League
4244829,FC Zürich,FC Winterthur,"0:0
(0:0)",Super League
4244830,FC Lausanne-Sport,FC St. Gallen 1879,"3:3
(1:2)",Super League
4244831,FC Luzern,Yverdon Sport FC,"1:0
(1:0)",Super League
4244832,BSC Young Boys,Grasshopper Club Zurich,"3:0
(3:0)",Super League
4244833,FC Stade-Lausanne-Ouchy,FC Basel 1893,"0:2
(0:1)",Super League
4244834,FC Winterthur,FC Lugano,"2:2
(0:0)",Super League
4244835,Servette FC,FC Zürich,"0:1
(0:1)",Super League
4244836,FC Luzern,FC Lausanne-Sport,"0:0
(0:0)",Super League
4244837,FC St. Gallen 1879,BSC Young Boys,"2:2
(1:0)",Super League
4244838,Yverdon Sport FC,Grasshopper Club Zurich,"3:2
(1:0)",Super League
