Match ID,Home Team,Away Team,Result,League
4089693,Grasshopper Club Zurich,Servette FC,"1:3
(1:1)",Super League
4089694,FC St. Gallen 1879,FC Basel 1893,"2:1
(1:1)",Super League
4089695,FC Winterthur,FC Luzern,"0:0
(0:0)",Super League
4089696,BSC Young Boys,FC Lausanne-Sport,"2:1
(0:0)",Super League
4089697,FC Zürich,Yverdon Sport FC,"2:0
(1:0)",Super League
4089698,FC Stade-Lausanne-Ouchy,FC Lugano,"0:3
(0:1)",Super League
4089699,FC Lausanne-Sport,Grasshopper Club Zurich,"1:1
(1:0)",Super League
4089700,FC Lugano,FC St. Gallen 1879,"1:0
(0:0)",Super League
4089701,Servette FC,FC Zürich,"2:2
(0:1)",Super League
4089702,FC Luzern,FC Stade-Lausanne-Ouchy,"2:1
(0:0)",Super League
4089703,FC Basel 1893,FC Winterthur,"5:2
(1:1)",Super League
4089704,Yverdon Sport FC,BSC Young Boys,"2:2
(0:1)",Super League
4089705,FC Stade-Lausanne-Ouchy,Servette FC,"1:1
(0:0)",Super League
4089706,BSC Young Boys,FC Winterthur,"5:2
(3:1)",Super League
4089707,FC Zürich,FC Lugano,"3:0
(0:0)",Super League
4089708,FC Lausanne-Sport,Yverdon Sport FC,"1:2
(1:1)",Super League
4089709,Grasshopper Club Zurich,FC Basel 1893,"3:1
(3:1)",Super League
4089710,FC St. Gallen 1879,FC Luzern,"2:1
(0:0)",Super League
4089711,FC Stade-Lausanne-Ouchy,FC Zürich,"0:3
(0:1)",Super League
4089712,FC Winterthur,Grasshopper Club Zurich,"3:1
(1:1)",Super League
4089713,Servette FC,FC St. Gallen 1879,"1:1
(1:0)",Super League
4089714,FC Basel 1893,FC Lausanne-Sport,"1:2
(0:1)",Super League
4089715,FC Lugano,Yverdon Sport FC,"6:1
(3:1)",Super League
4089716,FC Luzern,BSC Young Boys,"1:1
(1:0)",Super League
4089717,Yverdon Sport FC,Servette FC,"4:1
(1:0)",Super League
4089718,FC Zürich,FC St. Gallen 1879,"1:1
(0:0)",Super League
4089719,BSC Young Boys,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4089720,FC Lugano,FC Basel 1893,"1:3
(0:1)",Super League
4089721,Grasshopper Club Zurich,FC Luzern,"0:1
(0:0)",Super League
4089722,FC Lausanne-Sport,FC Winterthur,"2:5
(0:1)",Super League
4089723,FC St. Gallen 1879,FC Lausanne-Sport,"2:1
(0:0)",Super League
4089724,FC Stade-Lausanne-Ouchy,Grasshopper Club Zurich,"2:1
(0:1)",Super League
4089725,FC Winterthur,Yverdon Sport FC,"1:1
(1:0)",Super League
4089726,Servette FC,BSC Young Boys,"0:1
(0:1)",Super League
4089727,FC Basel 1893,FC Zürich,"2:2
(0:1)",Super League
4089728,FC Luzern,FC Lugano,"3:2
(2:1)",Super League
4089729,FC Lausanne-Sport,FC Zürich,"0:0
(0:0)",Super League
4089730,FC Winterthur,FC Stade-Lausanne-Ouchy,"2:1
(2:1)",Super League
4089731,Grasshopper Club Zurich,FC St. Gallen 1879,"1:1
(1:0)",Super League
4089732,Yverdon Sport FC,FC Basel 1893,"3:2
(1:1)",Super League
4089733,FC Luzern,Servette FC,"2:0
(2:0)",Super League
4089734,BSC Young Boys,FC Lugano,"4:1
(3:0)",Super League
4089735,FC Zürich,Grasshopper Club Zurich,"2:1
(1:0)",Super League
4089736,FC Lugano,FC Lausanne-Sport,"2:1
(1:0)",Super League
4089737,Servette FC,FC Winterthur,"2:2
(0:1)",Super League
4089738,FC St. Gallen 1879,BSC Young Boys,"2:1
(0:0)",Super League
4089739,FC Basel 1893,FC Luzern,"1:1
(0:0)",Super League
4089740,FC Stade-Lausanne-Ouchy,Yverdon Sport FC,"1:1
(0:0)",Super League
4089741,Servette FC,FC Lausanne-Sport,"2:1
(0:1)",Super League
4089742,FC Winterthur,FC Lugano,"2:3
(0:1)",Super League
4089743,Grasshopper Club Zurich,BSC Young Boys,"0:1
(0:1)",Super League
4089744,Yverdon Sport FC,FC St. Gallen 1879,"1:0
(1:0)",Super League
4089745,FC Basel 1893,FC Stade-Lausanne-Ouchy,"0:3
(0:1)",Super League
4089746,FC Luzern,FC Zürich,"1:4
(0:1)",Super League
4089747,Yverdon Sport FC,Grasshopper Club Zurich,"0:3
(0:1)",Super League
4089748,FC Zürich,FC Winterthur,"3:2
(2:1)",Super League
4089749,FC St. Gallen 1879,FC Stade-Lausanne-Ouchy,"4:0
(2:0)",Super League
4089750,FC Lugano,Servette FC,"0:1
(0:1)",Super League
4089751,FC Lausanne-Sport,FC Luzern,"3:1
(0:1)",Super League
4089752,BSC Young Boys,FC Basel 1893,"3:0
(2:0)",Super League
4089753,FC Stade-Lausanne-Ouchy,FC Lausanne-Sport,"2:2
(0:1)",Super League
4089754,BSC Young Boys,FC Zürich,"0:0
(0:0)",Super League
4089755,FC Basel 1893,Servette FC,"0:1
(0:0)",Super League
4089756,FC Winterthur,FC St. Gallen 1879,"2:1
(0:0)",Super League
4089757,Grasshopper Club Zurich,FC Lugano,"2:1
(0:0)",Super League
4089758,FC Luzern,Yverdon Sport FC,"2:1
(1:0)",Super League
4089759,FC Lausanne-Sport,FC Basel 1893,"3:0
(1:0)",Super League
4089760,FC Lugano,BSC Young Boys,"1:1
(0:0)",Super League
4089761,Servette FC,FC Luzern,"4:2
(1:1)",Super League
4089762,FC St. Gallen 1879,Grasshopper Club Zurich,"3:1
(3:1)",Super League
4089763,Yverdon Sport FC,FC Winterthur,"1:1
(1:1)",Super League
4089764,FC Zürich,FC Stade-Lausanne-Ouchy,"1:1
(1:1)",Super League
