Match ID,Home Team,HomeTeamPoints,AwayTeamPoints,Away Team,Result,League
3840895,BSC Young Boys,3,0,FC Zürich,4:0 (0:0),Credit Suisse Super League
3840896,FC Winterthur,1,1,FC Basel 1893,1:1 (1:0),Credit Suisse Super League
3840897,FC Lugano,0,3,FC Sion,2:3 (0:1),Credit Suisse Super League
3840898,Servette FC,3,0,FC St. Gallen 1879,1:0 (1:0),Credit Suisse Super League
3840899,FC Luzern,1,1,Grasshopper Club Zurich,1:1 (1:1),Credit Suisse Super League
3840900,FC Zürich,1,1,FC Luzern,0:0 (0:0),Credit Suisse Super League
3840901,FC St. Gallen 1879,3,0,FC Winterthur,2:0 (2:0),Credit Suisse Super League
3840902,FC Basel 1893,1,1,Servette FC,1:1 (1:0),Credit Suisse Super League
3840903,Grasshopper Club Zurich,3,0,FC Lugano,2:1 (1:0),Credit Suisse Super League
3840904,FC Sion,0,3,BSC Young Boys,0:3 (0:2),Credit Suisse Super League
3840905,FC St. Gallen 1879,3,0,FC Zürich,2:0 (2:0),Credit Suisse Super League
3840906,FC Sion,1,1,Servette FC,0:0 (0:0),Credit Suisse Super League
3840907,FC Winterthur,0,3,FC Lugano,1:4 (1:3),Credit Suisse Super League
3840908,BSC Young Boys,1,1,Grasshopper Club Zurich,1:1 (1:0),Credit Suisse Super League
3840909,FC Luzern,0,3,FC Basel 1893,0:2 (0:1),Credit Suisse Super League
3840910,Servette FC,3,0,FC Winterthur,1:0 (0:0),Credit Suisse Super League
3840911,Grasshopper Club Zurich,3,0,FC St. Gallen 1879,3:2 (2:2),Credit Suisse Super League
3840912,FC Zürich,0,3,FC Sion,0:3 (0:0),Credit Suisse Super League
3840913,FC Basel 1893,1,1,BSC Young Boys,0:0 (0:0),Credit Suisse Super League
3840914,FC Lugano,0,3,FC Luzern,1:2 (0:1),Credit Suisse Super League
3840915,FC Sion,1,1,Grasshopper Club Zurich,2:2 (1:0),Credit Suisse Super League
3840916,FC Winterthur,1,1,FC Zürich,1:1 (0:0),Credit Suisse Super League
3840917,FC St. Gallen 1879,3,0,FC Luzern,4:1 (1:0),Credit Suisse Super League
3840918,FC Basel 1893,0,3,FC Lugano,0:2 (0:0),Credit Suisse Super League
3840919,BSC Young Boys,3,0,Servette FC,3:0 (1:0),Credit Suisse Super League
3840920,FC Luzern,3,0,FC Sion,2:0 (2:0),Credit Suisse Super League
3840921,Servette FC,3,0,Grasshopper Club Zurich,3:1 (1:1),Credit Suisse Super League
3840922,FC Lugano,0,3,FC St. Gallen 1879,2:3 (1:2),Credit Suisse Super League
3840923,FC Winterthur,0,3,BSC Young Boys,1:5 (1:1),Credit Suisse Super League
3840924,FC Zürich,0,3,FC Basel 1893,2:4 (1:1),Credit Suisse Super League
3840925,FC Sion,3,0,FC Basel 1893,2:1 (1:0),Credit Suisse Super League
3840926,FC Zürich,0,3,FC Lugano,1:2 (1:1),Credit Suisse Super League
3840927,FC Luzern,0,3,Servette FC,0:2 (0:1),Credit Suisse Super League
3840928,Grasshopper Club Zurich,3,0,FC Winterthur,3:0 (1:0),Credit Suisse Super League
3840929,FC St. Gallen 1879,3,0,BSC Young Boys,2:1 (0:0),Credit Suisse Super League
3840930,FC St. Gallen 1879,0,3,FC Sion,1:2 (0:2),Credit Suisse Super League
3840931,Servette FC,3,0,FC Zürich,3:2 (2:1),Credit Suisse Super League
3840932,FC Winterthur,0,3,FC Luzern,0:6 (0:4),Credit Suisse Super League
3840933,FC Basel 1893,3,0,Grasshopper Club Zurich,5:1 (2:1),Credit Suisse Super League
3840934,BSC Young Boys,3,0,FC Lugano,3:0 (2:0),Credit Suisse Super League
3840935,FC Basel 1893,3,0,FC St. Gallen 1879,3:2 (2:1),Credit Suisse Super League
3840936,Grasshopper Club Zurich,1,1,FC Zürich,1:1 (0:1),Credit Suisse Super League
3840937,FC Sion,0,3,FC Winterthur,1:3 (1:1),Credit Suisse Super League
3840938,FC Lugano,3,0,Servette FC,1:0 (1:0),Credit Suisse Super League
3840939,FC Luzern,0,3,BSC Young Boys,1:2 (1:1),Credit Suisse Super League
3840957,Grasshopper Club Zurich,1,1,FC Sion,4:4 (3:1),Credit Suisse Super League
3840958,FC Lugano,3,0,FC Basel 1893,1:0 (1:0),Credit Suisse Super League
3840959,Servette FC,1,1,FC Luzern,1:1 (1:0),Credit Suisse Super League
3840960,BSC Young Boys,3,0,FC St. Gallen 1879,2:1 (1:1),Credit Suisse Super League
3840961,FC Zürich,1,1,FC Winterthur,0:0 (0:0),Credit Suisse Super League
3840963,Servette FC,1,1,FC Basel 1893,0:0 (0:0),Credit Suisse Super League
3840964,FC Sion,3,0,FC Luzern,2:0 (1:0),Credit Suisse Super League
3840965,FC St. Gallen 1879,1,1,FC Lugano,1:1 (1:0),Credit Suisse Super League
3840966,FC Winterthur,3,0,Grasshopper Club Zurich,1:0 (0:0),Credit Suisse Super League
3840967,FC Zürich,1,1,BSC Young Boys,0:0 (0:0),Credit Suisse Super League
3840968,FC Basel 1893,1,1,FC Zürich,0:0 (0:0),Credit Suisse Super League
3840969,Grasshopper Club Zurich,0,3,Servette FC,2:3 (0:0),Credit Suisse Super League
3840970,FC Lugano,0,3,BSC Young Boys,1:4 (1:1),Credit Suisse Super League
3840971,FC Luzern,1,1,FC St. Gallen 1879,3:3 (2:2),Credit Suisse Super League
3840972,FC Winterthur,3,0,FC Sion,1:0 (1:0),Credit Suisse Super League
3840973,FC Basel 1893,3,0,FC Winterthur,3:1 (2:0),Credit Suisse Super League
3840974,FC Luzern,3,0,FC Lugano,3:1 (0:0),Credit Suisse Super League
3840975,FC St. Gallen 1879,1,1,Servette FC,1:1 (0:1),Credit Suisse Super League
3840976,BSC Young Boys,1,1,FC Sion,1:1 (0:0),Credit Suisse Super League
3840977,FC Zürich,0,3,Grasshopper Club Zurich,1:4 (0:2),Credit Suisse Super League
3840978,Grasshopper Club Zurich,0,3,FC Luzern,1:3 (1:2),Credit Suisse Super League
3840979,Servette FC,1,1,FC Lugano,2:2 (2:1),Credit Suisse Super League
3840980,FC Sion,0,3,FC Zürich,0:1 (0:1),Credit Suisse Super League
