Name,Position,Contract,Value
Joël Mall,Torwart,30.06.2025,500 Tsd. €
Jérémy Frick,Torwart,30.06.2027,500 Tsd. €
Léo Besson,Torwart,30.06.2026,100 Tsd. €
Dylan Bronn ,Innenverteidiger,30.06.2024,"1,50 Mio. €"
Yoan Severin,Innenverteidiger,30.06.2026,"1,10 Mio. €"
Jérôme Onguéné,Innenverteidiger,30.06.2024,"1,00 Mio. €"
Omar Rekik ,Innenverteidiger,30.06.2024,500 Tsd. €
Anthony Baron,Innenverteidiger,30.06.2024,300 Tsd. €
Steve Rouiller ,Innenverteidiger,30.06.2025,200 Tsd. €
Bradley Mazikou,Linker Verteidiger,30.06.2025,"1,00 Mio. €"
Valton Behrami,Linker Verteidiger,30.06.2025,100 Tsd. €
Keigo Tsunemoto,Rechter Verteidiger,30.06.2026,"1,30 Mio. €"
Théo Magnin,Rechter Verteidiger,30.06.2024,300 Tsd. €
Issa Kaloga,Rechter Verteidiger,30.06.2026,200 Tsd. €
Gaël Ondoua,Defensives Mittelfeld,30.06.2025,700 Tsd. €
David Douline ,Defensives Mittelfeld,30.06.2025,700 Tsd. €
Timothé Cognat,Zentrales Mittelfeld,30.06.2026,"2,80 Mio. €"
Samba Diba,Zentrales Mittelfeld,30.06.2025,500 Tsd. €
Bendegúz Bolla,Rechtes Mittelfeld,30.06.2024,"1,80 Mio. €"
Alexis Antunes,Offensives Mittelfeld,30.06.2026,"1,30 Mio. €"
Dereck Kutesa,Linksaußen,30.06.2025,"1,70 Mio. €"
Tiemoko Ouattara,Linksaußen,30.06.2027,300 Tsd. €
Miroslav Stevanovic,Rechtsaußen,30.06.2025,"1,00 Mio. €"
Alexander Lyng,Rechtsaußen,30.06.2026,500 Tsd. €
Takuma Nishimura,Hängende Spitze,30.06.2024,"1,20 Mio. €  "
Jérémy Guillemenot,Mittelstürmer,30.06.2026,"1,00 Mio. €"
Enzo Crivelli,Mittelstürmer,30.06.2025,900 Tsd. €
Bassirou N'Diaye ,Mittelstürmer,30.06.2024,300 Tsd. €
Alexandre Patrício,Mittelstürmer,30.06.2025,100 Tsd. €
