Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Marwin Hitz,Goalkeeper,"Sep 18, 1987 (36)","1,94m",right,"Jul 1, 2022","Jun 30, 2025",€200k,FC Basel 1893,26
Mirko Salvi,Goalkeeper,"Feb 14, 1994 (30)","1,88m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC Basel 1893,26
Nils de Mol ,Goalkeeper,"May 3, 2001 (22)","1,83m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC Basel 1893,26
Adrian Leon Barisic ,Centre-Back,"Jul 19, 2001 (22)","1,92m",right,"Aug 18, 2023","Jun 30, 2027",€2.00m,FC Basel 1893,26
Nicolas Vouilloz,Centre-Back,"May 11, 2001 (22)","1,84m",right,"Jan 5, 2024","Jun 30, 2028",€1.90m  ,FC Basel 1893,26
Arnau Comas ,Centre-Back,"Apr 11, 2000 (23)","1,91m",right,"Jul 1, 2022","Jun 30, 2026",€1.00m  ,FC Basel 1893,26
Finn van Breemen,Centre-Back,"Feb 25, 2003 (21)","1,93m",left,"Jul 1, 2023","Jun 30, 2027",€1.00m  ,FC Basel 1893,26
Marvin Akahomen,Centre-Back,"Jul 15, 2007 (16)","1,86m",left,"Mar 14, 2024","Dec 31, 2026",€300k,FC Basel 1893,26
Jonas Adjetey,Centre-Back,"Dec 13, 2003 (20)","1,88m",right,"Aug 3, 2022",-,€200k,FC Basel 1893,26
Dominik Schmid,Left-Back,"Mar 10, 1998 (26)","1,82m",left,"Jul 20, 2023","Jun 30, 2026",€2.00m  ,FC Basel 1893,26
Hugo Vogel,Left-Back,"Jan 4, 2004 (20)","1,77m",left,"Jul 1, 2022","Jun 30, 2026",€200k,FC Basel 1893,26
Sergio López ,Right-Back,"Apr 8, 1999 (24)","1,79m",right,"Jul 1, 2021","Jun 30, 2024",€1.00m  ,FC Basel 1893,26
Mohamed Dräger ,Right-Back,"Jun 25, 1996 (27)","1,81m",right,"Aug 25, 2023","Jun 30, 2026",€600k  ,FC Basel 1893,26
Kevin Rüegg,Right-Back,"Aug 5, 1998 (25)","1,73m",right,"Sep 6, 2023","Jun 30, 2024",€500k,FC Basel 1893,26
Michael Lang,Right-Back,"Feb 8, 1991 (33)","1,85m",right,"Jul 19, 2021","Jun 30, 2025",€100k  ,FC Basel 1893,26
Renato Veiga ,Defensive Midfield,"Jul 29, 2003 (20)","1,90m",left,"Aug 28, 2023","Jun 30, 2027",€3.00m  ,FC Basel 1893,26
Leon Avdullahu,Defensive Midfield,"Feb 23, 2004 (20)","1,85m",right,"Jul 21, 2023","Jun 30, 2028",€2.00m  ,FC Basel 1893,26
Taulant Xhaka,Defensive Midfield,"Mar 28, 1991 (33)","1,72m",right,"Jul 1, 2010","Jun 30, 2027",€200k,FC Basel 1893,26
Fabian Frei ,Defensive Midfield,"Jan 8, 1989 (35)","1,83m",right,"Jan 1, 2018","Jun 30, 2024",€100k  ,FC Basel 1893,26
Gabriel Sigua,Central Midfield,"Jun 30, 2005 (18)","1,90m",right,"Jul 25, 2023","Jun 30, 2028",€2.50m  ,FC Basel 1893,26
Emmanuel Essiam ,Central Midfield,"Dec 19, 2003 (20)","1,83m",right,"Jan 3, 2022","Jun 30, 2026",€800k,FC Basel 1893,26
Benjamin Kololli ,Left Midfield,"May 15, 1992 (31)","1,84m",right,"Jan 1, 2024","Jun 30, 2025",€200k  ,FC Basel 1893,26
