Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age
Marwin Hitz,Goalkeeper,1987-09-18,"1,94m",right,2022-07-01,2025-06-30,0.2,FC Basel 1893,26,36
Mirko Salvi,Goalkeeper,1994-02-14,"1,88m",right,2022-07-01,2024-06-30,0.1,FC Basel 1893,26,30
Nils de Mol ,Goalkeeper,2001-05-03,"1,83m",right,2022-07-01,2024-06-30,0.1,FC Basel 1893,26,22
Adrian Leon Barisic ,Centre-Back,2001-07-19,"1,92m",right,2023-08-18,2027-06-30,2.0,FC Basel 1893,26,22
Nicolas Vouilloz,Centre-Back,2001-05-11,"1,84m",right,2024-01-05,2028-06-30,1.9,FC Basel 1893,26,22
Arnau Comas ,Centre-Back,2000-04-11,"1,91m",right,2022-07-01,2026-06-30,1.0,FC Basel 1893,26,23
Finn van Breemen,Centre-Back,2003-02-25,"1,93m",left,2023-07-01,2027-06-30,1.0,FC Basel 1893,26,21
Marvin Akahomen,Centre-Back,2007-07-15,"1,86m",left,2024-03-14,2026-12-31,0.3,FC Basel 1893,26,16
Jonas Adjetey,Centre-Back,2003-12-13,"1,88m",right,2022-08-03,,0.2,FC Basel 1893,26,20
Dominik Schmid,Left-Back,1998-03-10,"1,82m",left,2023-07-20,2026-06-30,2.0,FC Basel 1893,26,26
Hugo Vogel,Left-Back,2004-01-04,"1,77m",left,2022-07-01,2026-06-30,0.2,FC Basel 1893,26,20
Sergio López ,Right-Back,1999-04-08,"1,79m",right,2021-07-01,2024-06-30,1.0,FC Basel 1893,26,24
Mohamed Dräger ,Right-Back,1996-06-25,"1,81m",right,2023-08-25,2026-06-30,0.6,FC Basel 1893,26,27
Kevin Rüegg,Right-Back,1998-08-05,"1,73m",right,2023-09-06,2024-06-30,0.5,FC Basel 1893,26,25
Michael Lang,Right-Back,1991-02-08,"1,85m",right,2021-07-19,2025-06-30,0.1,FC Basel 1893,26,33
Renato Veiga ,Defensive Midfield,2003-07-29,"1,90m",left,2023-08-28,2027-06-30,3.0,FC Basel 1893,26,20
Leon Avdullahu,Defensive Midfield,2004-02-23,"1,85m",right,2023-07-21,2028-06-30,2.0,FC Basel 1893,26,20
Taulant Xhaka,Defensive Midfield,1991-03-28,"1,72m",right,2010-07-01,2027-06-30,0.2,FC Basel 1893,26,33
Fabian Frei ,Defensive Midfield,1989-01-08,"1,83m",right,2018-01-01,2024-06-30,0.1,FC Basel 1893,26,35
Gabriel Sigua,Central Midfield,2005-06-30,"1,90m",right,2023-07-25,2028-06-30,2.5,FC Basel 1893,26,18
Emmanuel Essiam ,Central Midfield,2003-12-19,"1,83m",right,2022-01-03,2026-06-30,0.8,FC Basel 1893,26,20
Benjamin Kololli ,Left Midfield,1992-05-15,"1,84m",right,2024-01-01,2025-06-30,0.2,FC Basel 1893,26,31
Dion Kacuri,Attacking Midfield,2004-02-11,"1,88m",left,2024-02-07,2028-06-30,1.0,FC Basel 1893,26,20
Adriano Onyegbule,Attacking Midfield,2006-06-23,"1,84m",right,2022-07-01,2025-06-30,0.5,FC Basel 1893,26,17
Anton Kade,Left Winger,2004-01-17,"1,85m",right,2022-07-01,2026-06-30,1.2,FC Basel 1893,26,20
Junior Zé,Left Winger,2006-03-22,"1,78m",right,2023-07-21,,0.7,FC Basel 1893,26,18
Juan Carlos Gauto,Right Winger,2004-06-02,"1,72m",right,2023-08-28,2028-06-30,3.2,FC Basel 1893,26,19
Yusuf Demir ,Right Winger,2003-06-02,"1,71m",left,2023-08-16,2024-06-30,3.0,FC Basel 1893,26,20
Axel Kayombo,Right Winger,2006-02-25,"1,86m",right,2023-07-21,2025-06-30,0.15,FC Basel 1893,26,18
Thierno Barry,Centre-Forward,2002-10-21,"1,95m",right,2023-07-03,2027-06-30,2.5,FC Basel 1893,26,21
Djordje Jovanovic ,Centre-Forward,1999-02-15,"1,87m",right,2023-08-17,2027-06-30,2.0,FC Basel 1893,26,25
Maurice Malone,Centre-Forward,2000-08-17,"1,87m",left,2023-08-11,2027-06-30,1.5,FC Basel 1893,26,23
Roméo Beney,Centre-Forward,2005-01-19,"1,87m", ,2024-01-09,2027-06-30,0.7,FC Basel 1893,26,19
Jean-Kévin Augustin,Centre-Forward,1997-06-16,"1,79m",right,2022-07-01,2025-06-30,0.5,FC Basel 1893,26,26
Albian Ajeti ,Centre-Forward,1997-02-26,"1,81m",right,2024-02-01,2025-06-30,0.5,FC Basel 1893,26,27
Andrin Hunziker ,Centre-Forward,2003-02-21,"1,92m",right,2021-07-01,2026-06-30,0.4,FC Basel 1893,26,21
Joël Mall,Goalkeeper,1991-04-05,"1,97m",right,2023-07-01,2025-06-30,0.5,Servette FC,61,33
Jérémy Frick,Goalkeeper,1993-03-08,"1,92m",left,2016-07-01,2027-06-30,0.5,Servette FC,61,31
Léo Besson,Goalkeeper,2002-10-27,"1,87m",right,2023-04-08,2026-06-30,0.1,Servette FC,61,21
Yoan Severin,Centre-Back,1997-01-24,"1,86m",left,2018-07-17,2026-06-30,1.5,Servette FC,61,27
Dylan Bronn,Centre-Back,1995-06-19,"1,86m",right,2024-02-15,2024-06-30,1.5,Servette FC,61,28
Omar Rekik ,Centre-Back,2001-12-20,"1,88m",right,2024-02-01,2024-06-30,0.5,Servette FC,61,22
Jérôme Onguéné,Centre-Back,1997-12-22,"1,86m",right,2023-08-04,2024-06-30,0.5,Servette FC,61,26
Anthony Baron ,Centre-Back,1992-12-29,"1,80m",left,2022-07-20,2024-06-30,0.3,Servette FC,61,31
Steve Rouiller ,Centre-Back,1990-07-10,"1,83m",right,2018-07-01,2025-06-30,0.2,Servette FC,61,33
Bradley Mazikou,Left-Back,1996-06-02,"1,72m",right,2023-07-01,2025-06-30,1.4,Servette FC,61,27
Valton Behrami,Left-Back,2004-03-16,"1,82m",left,2022-10-31,2025-06-30,0.1,Servette FC,61,20
Keigo Tsunemoto,Right-Back,1998-10-21,"1,73m",right,2023-07-15,2026-06-30,2.0,Servette FC,61,25
Théo Magnin,Right-Back,2003-08-09,"1,71m",right,2021-02-23,2024-06-30,0.5,Servette FC,61,20
Issa Kaloga,Right-Back,2004-02-27,"1,82m",right,2023-07-01,2026-06-30,0.2,Servette FC,61,20
Gaël Ondoua,Defensive Midfield,1995-11-04,"1,87m",left,2023-07-20,2025-06-30,0.9,Servette FC,61,28
David Douline,Defensive Midfield,1993-05-28,"1,81m",right,2021-07-01,2025-06-30,0.7,Servette FC,61,30
Timothé Cognat,Central Midfield,1998-01-25,"1,73m",right,2019-07-01,2026-06-30,3.5,Servette FC,61,26
Samba Diba,Central Midfield,2003-12-24,"1,90m",right,2022-07-01,2025-06-30,0.5,Servette FC,61,20
Bendegúz Bolla,Right Midfield,1999-11-22,"1,79m",right,2023-08-29,2024-06-30,2.1,Servette FC,61,24
Alexis Antunes,Attacking Midfield,2000-07-31,"1,81m",right,2017-07-01,2026-06-30,2.3,Servette FC,61,23
Dereck Kutesa,Left Winger,1997-12-06,"1,77m",right,2022-08-30,2025-06-30,2.0,Servette FC,61,26
Tiemoko Ouattara,Left Winger,2005-05-25,"1,78m",right,2023-07-01,2027-06-30,0.3,Servette FC,61,18
Miroslav Stevanovic,Right Winger,1990-07-29,"1,80m",right,2017-07-24,2025-06-30,0.8,Servette FC,61,33
Alexander Lyng,Right Winger,2004-11-26,"1,77m",right,2023-07-01,2026-06-30,0.5,Servette FC,61,19
Takuma Nishimura,Second Striker,1996-10-22,"1,78m",right,2024-02-10,2024-06-30,1.2,Servette FC,61,27
Jérémy Guillemenot,Centre-Forward,1998-01-06,"1,84m",right,2023-07-01,2026-06-30,1.0,Servette FC,61,26
Enzo Crivelli,Centre-Forward,1995-02-06,"1,84m",right,2022-08-30,2025-06-30,0.9,Servette FC,61,29
Bassirou N'Diaye ,Centre-Forward,2002-02-15,"1,81m",right,2024-02-02,2024-06-30,0.3,Servette FC,61,22
Alexandre Patrício,Centre-Forward,2004-02-17,"1,79m",right,2022-08-26,2025-06-30,0.1,Servette FC,61,20
Anthony Racioppi,Goalkeeper,1998-12-31,"1,89m",right,2022-01-10,2025-06-30,1.7,BSC Young Boys,452,25
David von Ballmoos,Goalkeeper,1994-12-30,"1,92m",right,2013-07-01,2025-06-30,1.5,BSC Young Boys,452,29
Dario Marzino,Goalkeeper,1996-09-19,"1,84m",right,2022-07-08,2024-06-30,0.1,BSC Young Boys,452,27
Aurèle Amenda,Centre-Back,2003-07-31,"1,97m",right,2024-01-25,2024-06-30,8.0,BSC Young Boys,452,20
Mohamed Camara,Centre-Back,1997-08-28,"1,93m",right,2018-07-06,2026-06-30,3.5,BSC Young Boys,452,26
Anel Husic,Centre-Back,2001-03-01,"1,86m",left,2024-02-15,2027-06-30,0.8,BSC Young Boys,452,23
Loris Benito ,Centre-Back,1992-01-07,"1,86m",left,2022-07-04,2025-06-30,0.2,BSC Young Boys,452,32
Fabian Lustenberger  ,Centre-Back,1988-05-02,"1,82m",right,2019-07-01,2024-06-30,0.1,BSC Young Boys,452,35
Jaouen Hadjam,Left-Back,2003-03-26,"1,85m",left,2024-01-19,2028-06-30,1.5,BSC Young Boys,452,21
Noah Persson,Left-Back,2003-07-16,"1,84m",left,2023-02-07,2027-06-30,1.2,BSC Young Boys,452,20
Lewin Blum,Right-Back,2001-07-27,"1,81m",right,2021-07-01,2027-06-30,2.5,BSC Young Boys,452,22
Saidy Janko,Right-Back,1995-10-22,"1,81m",right,2023-07-01,2027-06-30,0.8,BSC Young Boys,452,28
Cheikh Niasse,Defensive Midfield,2000-01-19,"1,88m",right,2022-02-03,2026-06-30,3.5,BSC Young Boys,452,24
Sandro Lauper,Defensive Midfield,1996-10-25,"1,85m",right,2018-07-01,2025-06-30,1.0,BSC Young Boys,452,27
Lukasz Lakomy,Central Midfield,2001-01-18,"1,81m",left,2023-07-01,2028-06-30,2.0,BSC Young Boys,452,23
Darian Males,Right Midfield,2001-05-03,"1,88m",left,2023-07-19,2027-06-30,3.7,BSC Young Boys,452,22
Filip Ugrinic ,Left Midfield,1999-01-05,"1,84m",right,2022-07-01,2026-06-30,5.5,BSC Young Boys,452,25
Kastriot Imeri ,Left Midfield,2000-06-27,"1,78m",right,2022-08-16,2026-06-30,4.0,BSC Young Boys,452,23
Joel Mvuka,Right Winger,2002-11-12,"1,76m",right,2024-01-20,2024-06-30,4.0,BSC Young Boys,452,21
Ebrima Colley,Right Winger,2000-02-01,"1,80m",right,2023-09-01,2024-06-30,2.6,BSC Young Boys,452,24
