Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID,matchday,weekday,date,time,Minutes Played,Player Event
Goalkeeper,David von Ballmoos,27,€2.50m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Centre-Back,Cédric Zesiger,24,€3.20m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Centre-Back,Fabian Lustenberger,34,€400k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Left-Back,Ulisses Garcia,26,€2.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Right-Back,Lewin Blum,20,€750k,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,63,Substituted Out
Defensive Midfield,Cheikh Niasse,22,€1.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Central Midfield,Fabian Rieder,20,€8.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,88,Substituted Out
Right Midfield,Christian Fassnacht,28,€4.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,90,
Left Midfield,Vincent Sierro,26,€1.50m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,63,Substituted Out
Second Striker,Meschack Elia,24,€5.00m,BSC Young Boys,"1. Matchday | Sat, 7/16/22   |  6:00 PM",Home,Starting,3840895,1. Matchday,Sat,16/07/2022,6:00 PM,63,Substituted Out
