Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,Marwin Hitz,35,€500k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Centre-Back,Kasim Adams,27,€1.30m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Centre-Back,Michael Lang,32,€500k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Centre-Back,Sergio López,24,€1.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Defensive Midfield,Wouter Burger,22,€4.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Defensive Midfield,Taulant Xhaka,32,€300k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Right Midfield,Dan Ndoye,22,€3.50m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Left Midfield,Liam Millar,23,€1.80m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Attacking Midfield,Darian Males,22,€4.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Attacking Midfield,Zeki Amdouni,22,€5.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Centre-Forward,Andi Zeqiri,23,€2.70m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Starting,3841148
Goalkeeper,Mirko Salvi,29,€100k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Goalkeeper,Nils de Mol,22,€100k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Centre-Back,Marvin Akahomen,15,,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Right-Back,Hugo Novoa,20,€5.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Central Midfield,Emmanuel Essiam,19,€200k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Attacking Midfield,Adriano Onyegbule,16,€100k,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Left Winger,Anton Kade,19,€1.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Centre-Forward,Bradley Fink,20,€1.00m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
Centre-Forward,Jean-Kévin Augustin,25,€1.30m,FC Basel 1893,"32. Matchday | Sun, 5/7/23   |  4:30 PM",Home,Substitute,3841148
